"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","gen","prob_corte","fitness"
3,0.65,0.057,0.7,3,0.2,0.6,11,0.0224,7156500
3,0.57,0.057,0.7,2,0.4,0.63,11,0.0224,7067700
3,0.52,0.057,0.7,2,0.3,0.63,12,0.02,7046400
40,0.52,0.057,0.7,3,0.4,0.6,12,0.0155,6445500
3,0.52,0.057,0.7,3,0.3,0.6,12,0.0222,7071600
3,0.65,0.057,0.7,4,0.2,0.63,12,0.0219,7108500
39,0.52,0.057,0.7,2,0.4,0.6,12,0.0145,6376200
3,0.65,0.057,0.7,3,0.6,0.6,12,0.0238,7056000
3,0.52,0.057,0.6,3,0.2,0.63,12,0.0212,7076700
3,0.65,0.057,0.7,9,0.2,0.6,12,0.0246,7098000
3,0.65,0.057,0.7,8,0.4,0.6,12,0.023,7036500
3,0.52,0.057,0.7,8,0.2,0.6,12,0.0226,7172100
3,0.52,0.057,0.7,2,0.4,0.6,12,0.0217,7052100
3,0.65,0.057,0.7,3,0.2,0.6,12,0.0229,7108500
3,0.65,0.238,0.7,4,0.2,0.63,13,0.0274,6640500
48,0.52,0.057,0.7,8,0.2,0.6,13,0.0201,6908400
3,0.65,0.057,0.7,7,0.2,0.63,13,0.0217,7140600
17,0.65,0.057,0.7,3,0.2,0.6,13,0.0169,6818700
3,0.52,0.057,0.7,3,0.2,0.6,13,0.0214,7052100
3,0.65,0.057,0.7,8,1,0.6,13,0.0235,7033800
3,0.52,0.057,0.7,9,0.2,0.6,13,0.0225,7103700
38,0.65,0.057,0.7,4,0.2,0.63,13,0.0191,6813900
3,0.65,0.057,0.7,3,0.2,0.6,13,0.0225,7080600
3,0.52,0.057,0.7,8,0.2,0.6,13,0.0244,7089300
28,0.65,0.057,0.7,7,0.2,0.6,14,0.0224,6846000
3,0.52,0.264,0.7,8,0.2,0.63,14,0.0244,6636000
48,0.52,0.057,0.7,9,0.2,0.6,14,0.0225,6803100
5,0.52,0.057,0.7,8,0.2,0.6,14,0.0252,7086300
3,0.65,0.057,0.7,10,0.2,0.63,14,0.023,7107600
42,0.52,0.057,0.7,9,0.2,0.6,14,0.0195,6843900
3,0.52,0.389,0.7,7,0.2,0.63,14,0.0275,6188700
3,0.52,0.057,0.7,8,0.2,0.6,14,0.0204,7044000
3,0.52,0.057,0.7,2,0.2,0.6,14,0.0188,7099800
3,0.65,0.057,0.6,8,0.2,0.63,14,0.0213,7087500
3,0.65,0.057,0.7,7,0.2,0.63,14,0.0217,7092000
3,0.52,0.057,0.7,2,0.2,0.54,15,0.0242,7100100
3,0.65,0.057,0.7,10,0.2,0.57,15,0.0204,7104300
3,0.65,0.165,0.7,2,0.2,0.63,15,0.0275,6825900
5,0.52,0.057,0.7,7,0.2,0.6,15,0.0231,7104300
3,0.65,0.057,0.7,1,0.2,0.63,15,0.0205,7053900
3,0.65,0.057,0.7,10,0.5,0.63,15,0.0274,6970200
3,0.65,0.057,0.7,4,0.2,0.63,15,0.0216,7110900
3,0.62,0.057,0.7,7,0.2,0.63,15,0.0212,7122600
3,0.65,0.057,0.7,10,0.2,0.63,15,0.0213,7128300
3,0.65,0.057,0.7,7,0.5,0.63,15,0.0231,7112700
3,0.65,0.057,0.7,7,0.2,0.63,15,0.0236,7036800
3,0.51,0.057,0.7,10,0.5,0.63,16,0.023,7031100
3,0.65,0.057,0.7,7,0.2,0.53,16,0.0244,7149600
3,0.65,0.368,0.7,7,0.2,0.63,16,0.0341,6087000
8,0.65,0.057,0.7,10,0.5,0.63,16,0.0216,6798300
3,0.59,0.057,0.7,7,0.2,0.63,16,0.0217,7071900
3,0.65,0.057,0.7,7,0.5,0.6,16,0.0226,7041300
3,0.65,0.057,0.7,7,0.6,0.63,16,0.0204,7030800
3,0.65,0.057,0.9,10,0.5,0.63,16,0.0228,7014600
3,0.62,0.057,0.7,7,0.2,0.57,16,0.0222,7121400
3,0.65,0.057,0.7,10,0.2,0.63,16,0.0257,7082700
3,0.62,0.057,0.7,7,0.2,0.63,16,0.0198,7128900
3,0.65,0.057,0.7,7,0.8,0.53,17,0.0254,7059900
3,0.62,0.057,0.9,7,0.2,0.57,17,0.0211,7096200
3,0.65,0.057,0.7,7,0.2,0.53,17,0.0211,7140900
3,0.62,0.064,0.7,7,0.2,0.63,17,0.0205,7058100
3,0.62,0.17,0.7,7,0.2,0.57,17,0.0266,6939600
16,0.62,0.057,0.7,7,0.2,0.63,17,0.0212,6828600
3,0.62,0.057,0.7,7,0.2,0.63,17,0.0199,7060800
26,0.62,0.057,0.7,7,0.2,0.57,17,0.0263,6684600
3,0.65,0.057,0.7,7,0.2,0.5,17,0.022,7097100
3,0.62,0.057,0.7,7,1,0.53,17,0.0249,7041900
3,0.62,0.057,0.7,7,0.2,0.57,17,0.0221,7137300
3,0.62,0.057,0.7,7,0.2,0.54,18,0.0215,7192800
3,0.65,0.057,0.9,7,0.2,0.5,18,0.0186,7050600
3,0.61,0.057,0.7,7,0.2,0.57,18,0.0195,7025700
3,0.65,0.057,0.6,7,0.2,0.5,18,0.0213,7126500
30,0.62,0.057,0.7,7,0.2,0.57,18,0.0244,6691200
3,0.65,0.057,0.7,7,0.2,0.59,18,0.0217,7108200
3,0.65,0.057,0.7,7,0.3,0.53,18,0.0229,7070100
3,0.6,0.057,0.7,7,0.2,0.5,18,0.023,7071900
3,0.65,0.057,0.8,7,0.2,0.53,18,0.0211,7071900
3,0.65,0.057,0.7,7,0.2,0.5,18,0.0207,7095300
3,0.65,0.057,0.7,7,0.2,0.53,18,0.02,7075200
3,0.65,0.057,0.6,7,0.2,0.54,19,0.0225,7058100
3,0.62,0.057,0.7,7,0.4,0.5,19,0.0218,7094400
3,0.62,0.057,0.7,10,0.2,0.54,19,0.0211,7008300
3,0.65,0.057,0.7,7,0.2,0.59,19,0.0245,7109400
4,0.62,0.057,0.7,7,0.2,0.54,19,0.0222,7102500
3,0.65,0.057,0.6,7,0.5,0.5,19,0.0208,6995400
44,0.65,0.057,0.7,7,0.2,0.5,19,0.0205,6825000
3,0.65,0.057,0.6,7,1,0.59,19,0.0203,7040100
3,0.65,0.032,0.6,7,0.2,0.59,19,0.0207,7165200
3,0.65,0.057,0.7,7,0.8,0.5,19,0.0253,7069200
3,0.65,0.057,0.6,7,0.2,0.5,19,0.0206,7188000
3,0.65,0.032,0.6,7,0.2,0.54,20,0.0212,7123500
