Feature	Gain	Cover	Frequency
cliente_edad__min	0.00147720553205481	NA	0.00451737451737452
Visa_mpagado__tend	0.00147380771625822	NA	0.0027027027027027
Visa_mconsumospesos__min	0.00146899093645933	NA	0.00370656370656371
chomebanking_transacciones__tend	0.00146037507131024	NA	0.00312741312741313
Visa_Fvencimiento__max	0.00145205518964264	NA	0.00413127413127413
Master_Fvencimiento__min	0.00145079809191484	NA	0.00332046332046332
Visa_mpagado__max	0.00140261525869154	NA	0.00200772200772201
cliente_edad	0.0013996409017072	NA	0.00517374517374517
chomebanking_transacciones__max	0.00139163749494267	NA	0.00413127413127413
chomebanking_transacciones	0.00133165050386278	NA	0.00332046332046332
Visa_Fvencimiento__min	0.00132030244519727	NA	0.00420849420849421
ctarjeta_visa_transacciones__max	0.00131861148201183	NA	0.00386100386100386
mautoservicio__max	0.00131728309484297	NA	0.00247104247104247
tpagomiscuentas	0.00131475885404244	NA	0.00189189189189189
ccallcenter_transacciones__tend	0.00130814147195735	NA	0.00335907335907336
Master_Fvencimiento__max	0.00127559655119598	NA	0.00328185328185328
mactivos_margen__tend	0.00126252823649751	NA	0.00347490347490347
cprestamos_personales__tend	0.00119885490048332	NA	0.00200772200772201
Master_fultimo_cierre	0.00119690614781429	NA	0.00235521235521236
Master_marca_atraso	0.00117239351836794	NA	0.00131274131274131
marketing_coss_selling__max	0.00116837815663614	NA	0.00316602316602317
mttarjeta_visa_debitos_automaticos__min	0.00116820494745289	NA	0.00277992277992278
tcallcenter__tend	0.00116773052876954	NA	0.00281853281853282
Master_fechaalta__max	0.00116507666409263	NA	0.00305019305019305
mautoservicio__min	0.00115972947183351	NA	0.00223938223938224
Visa_mpagominimo__min	0.00115235844816524	NA	0.00277992277992278
Visa_tconsumos__tend	0.00113085526104995	NA	0.00324324324324324
ccallcenter_transacciones	0.00112847409844146	NA	0.00277992277992278
mrentabilidad__tend	0.00112411759938212	NA	0.00247104247104247
mcomisiones_mantenimiento__max	0.00112215397814457	NA	0.00266409266409266
foto_mes	0.00111105090870171	NA	0.00262548262548263
