experimento	metrica	metrica2	tiempo	parametros	fecha	clase	programa	algoritmo	busqueda	estimacion	dataset_train	dataset_test	observaciones
999	5325900	0.9219883	11.9291	"num_iterations=59, init_score=0.005, bagging_fraction=1, feature_fraction=0.364310113587974, learning_rate=0.0353741853862125, min_data_in_leaf=47, num_leaves=10, lambda_l1=0.492487451990356, min_gain_to_split=0.152650841348491, max_bin=31"	20181203 211904	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0219646788315876
999	5318700	0.9192895	36.80288	"num_iterations=650, init_score=0.005, bagging_fraction=1, feature_fraction=0.0666716222381309, learning_rate=0.0129307908468677, min_data_in_leaf=100, num_leaves=322, lambda_l1=0.709633467459826, min_gain_to_split=0.278982479910242, max_bin=31"	20181203 210047	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0297106631508183
999	5318700	0.9203254	18.14195	"num_iterations=166, init_score=0.005, bagging_fraction=1, feature_fraction=0.141889718453418, learning_rate=0.00676907857597937, min_data_in_leaf=46, num_leaves=496, lambda_l1=0.76130512980759, min_gain_to_split=0.0312900294662019, max_bin=31"	20181203 210710	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.015322098929948
999	5318100	0.9227504	18.01733	"num_iterations=191, init_score=0.005, bagging_fraction=1, feature_fraction=0.435594599046239, learning_rate=0.0152513389404163, min_data_in_leaf=52, num_leaves=10, lambda_l1=0.111414604132349, min_gain_to_split=0.616673364857852, max_bin=31"	20181203 212403	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0292352684791595
999	5316600	0.9212288	17.84686	"num_iterations=93, init_score=0.005, bagging_fraction=1, feature_fraction=0.295625704775218, learning_rate=0.012028695005947, min_data_in_leaf=77, num_leaves=121, lambda_l1=0.782255957065405, min_gain_to_split=0.93202929529364, max_bin=31"	20181203 212341	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0150502076605107
999	5314800	0.9210894	23.8821	"num_iterations=135, init_score=0.005, bagging_fraction=1, feature_fraction=0.363659180603033, learning_rate=0.00846024557685215, min_data_in_leaf=65, num_leaves=450, lambda_l1=0.879710190372765, min_gain_to_split=0.720013802959595, max_bin=31"	20181203 205226	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0151927782795719
999	5314500	0.9216885	15.30245	"num_iterations=149, init_score=0.005, bagging_fraction=1, feature_fraction=0.125783940661105, learning_rate=0.0244788072645097, min_data_in_leaf=45, num_leaves=16, lambda_l1=0.618636030247421, min_gain_to_split=0.906483425813987, max_bin=31"	20181203 212739	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0262527491444911
999	5312400	0.9207917	29.34826	"num_iterations=107, init_score=0.005, bagging_fraction=1, feature_fraction=0.253344819629943, learning_rate=0.0132775888985513, min_data_in_leaf=77, num_leaves=363, lambda_l1=0.638071807130683, min_gain_to_split=0.117908190914484, max_bin=31"	20181203 202057	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0151198605686325
999	5311800	0.9214738	33.03329	"num_iterations=241, init_score=0.005, bagging_fraction=1, feature_fraction=0.186678324605124, learning_rate=0.00543246221151723, min_data_in_leaf=49, num_leaves=369, lambda_l1=0.17974243965849, min_gain_to_split=0.515488674457232, max_bin=31"	20181203 203101	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.018601528854347
999	5311800	0.9219793	17.48021	"num_iterations=177, init_score=0.005, bagging_fraction=1, feature_fraction=0.516866015001481, learning_rate=0.014424375200631, min_data_in_leaf=66, num_leaves=13, lambda_l1=0.528876688298622, min_gain_to_split=0.0978607013167777, max_bin=31"	20181203 213747	binaria2	lightgbm2-tune.r	lightgbm2	MBO	depende	nuevo_febrero.rds	nuevo_febrero.rds	prob_corte_binaria2=0.0191276579785426
